x,y
0.008896414647992401,5.758301082892103e-05
-0.01855831658046192,0.13507586420860918
0.38144168938000256,0.18507586495366724
0.6814416938503509,0.18507586495366724
0.9814416983206993,0.28507586644378335
1.1814417013009315,0.2350758656987253
1.3814417042811638,0.28507586644378335
1.681441708751512,0.3350758671888414
1.9814417132218605,0.3350758671888414
2.331441718437267,0.3350758671888414
2.6314417229076152,0.5350758701690737
3.081441729613138,0.4850758694240156
3.431441734828544,0.5350758701690737
3.6814417385538345,0.4850758694240156
4.181441746004415,0.5350758701690737
4.331441748239589,0.5850758709141317
4.931441757180286,0.6350758716591898
5.531441766120983,0.5850758709141317
5.781441769846273,0.5350758701690737
6.031441773571563,0.4850758694240156
6.431441779532028,0.3350758671888414
6.781441784747434,0.3350758671888414
7.081441789217783,0.2350758656987253
7.281441792198015,0.28507586644378335
7.581441796668363,0.3350758671888414
7.93144180188377,0.2350758656987253
8.331441807844234,0.13507586420860918
8.581441811569524,0.28507586644378335
8.981441817529989,0.08507586346355112
9.381441823490453,0.13507586420860918
9.781441829450918,0.035075862718493056
9.98144183243115,-0.014924138026565004
10.331441837646556,-0.16492414026173918
10.731441843607021,-0.31492414249691336
10.731441843607021,-0.31492414249691336
10.881441845842195,-0.864924150692552
10.981441847332311,-1.0649241536727843
11.231441851057602,-1.5649241611233649
11.431441854037834,-1.8649241655937132
11.431441854037834,-2.2649241715541777
11.481441854782892,-2.514924175279468
11.831441859998298,-2.8149241797498163
11.881441860743356,-3.214924185710281
12.081441863723589,-3.414924188690513
12.081441863723589,-3.414924188690513
12.131441864468647,-3.5649241909256872
11.78144185925324,-3.7649241939059195
11.481441854782892,-4.064924198376268
11.131441849567485,-4.564924205826848
10.681441842861963,-4.914924211042255
10.381441838391614,-5.264924216257661
10.281441836901498,-5.364924217747777
10.281441836901498,-5.364924217747777
9.881441830941034,-5.314924217002719
9.431441824235511,-5.214924215512603
8.731441813804699,-5.014924212532371
8.031441803373886,-4.814924209552139
7.8314418003936535,-4.864924210297197
7.431441794433189,-4.814924209552139
6.931441786982608,-4.814924209552139
6.481441780277086,-4.764924208807081
6.38144177878697,-4.764924208807081
6.031441773571563,-4.51492420508179
5.781441769846273,-4.51492420508179
5.481441765375925,-4.464924204336732
5.231441761650634,-4.414924203591674
4.881441756435228,-4.2649242013565
4.681441753454996,-4.164924199866384
3.931441742279125,-4.214924200611442
3.5814417370637184,-4.6149242065719065
3.331441733338428,-4.714924208062023
3.0314417288680797,-4.814924209552139
2.8314417258878475,-5.014924212532371
2.581441722162557,-5.264924216257661
2.2314417169471508,-5.4649242192378935
2.1314417154570346,-5.56492422072801
1.9814417132218605,-5.964924226688474
1.9814417132218605,-5.964924226688474
2.281441717692209,-6.214924230413764
2.581441722162557,-6.364924232648939
2.9314417273779636,-6.714924237864345
3.081441729613138,-7.214924245314926
3.28144173259337,-7.564924250530332
3.431441734828544,-7.86492425500068
3.6314417378087764,-8.164924259471029
4.031441743769241,-8.514924264686435
4.031441743769241,-8.514924264686435
4.431441749729705,-8.564924265431493
4.881441756435228,-8.514924264686435
5.3314417631407505,-8.714924267666667
5.881441771336389,-8.814924269156784
6.331441778041912,-8.814924269156784
6.63144178251226,-8.864924269901842
6.88144178623755,-8.864924269901842
